# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	15370
#@/user_id	18d226a2-3005-45e4-94cb-81c4e0a458f1
jiu bu shi 	就不是	c=1 d=0.400517 t=15370
jiu bu xing 	就不行	c=1 d=0.10435 t=15370
jiu bu xu yao 	就不需要	c=5 d=0.904856 t=15370
jiu bu yao 	就不要	c=2 d=0.132655 t=15370
jiu hui 	就会	c=26 d=4.76489 t=15370
jiu ke 	就可	c=1 d=0.637628 t=15370
jiu ke yi 	就可以	c=15 d=0.442707 t=15370
jiu shi 	就是	c=32 d=1.49351 t=15370
jiu shi yong 	就使用	c=1 d=1 t=15154
jiu suan 	就算	c=1 d=9.49258e-06 t=15370
jiu wei 	就为	c=1 d=0.00546167 t=15370
jiu xie 	就写	c=0 d=0.1 t=12265
jiu xie wei 	就写为	c=1 d=1 t=12266
jiu xu yao 	就需要	c=6 d=0.643134 t=15370
jiu yao 	就要	c=12 d=1.8793 t=15370
jiu yi jing 	就已经	c=1 d=1 t=15007
jiu ying gai 	就应该	c=1 d=1 t=12925
jiu you 	就有	c=3 d=0.759572 t=15370
ju bao 	举报	c=1 d=0.70822 t=15370
ju bei 	具备	c=2 d=1.01699 t=15370
ju bing 	句柄	c=15 d=1.0182 t=14099
ju bu 	局部	c=2 d=0.778736 t=15370
ju bu bian liang 	局部变量	c=1 d=0.0100518 t=15370
ju chu 	举出	c=1 d=0.000696112 t=15370
ju da 	巨大	c=1 d=0.666977 t=15370
ju jiao 	聚焦	c=1 d=0.00402593 t=15370
ju jue 	拒绝	c=2 d=0.985112 t=15370
ju ti 	具体	c=12 d=2.01547 t=15370
ju xian yu 	局限于	c=1 d=0.715338 t=15370
ju yu wang 	局域网	c=1 d=1 t=12560
jue da bu fen 	绝大部分	c=1 d=0.0163259 t=15370
jue de 	觉得	c=3 d=1.87472 t=15370
jue ding 	决定	c=2 d=0.251579 t=15370
jue se 	角色	c=2 d=0.0393113 t=15370
jun deng 	均等	c=1 d=3.18332e-05 t=15370
jun ren 	军人	c=1 d=1.92645e-08 t=15370
ka dun 	卡顿	c=1 d=0.0256042 t=15370
ka zhu 	卡住	c=1 d=1 t=13700
kai fa 	开发	c=35 d=5.86974 t=15370
kai fa ren yuan 	开发人员	c=1 d=0.0222592 t=15370
kai fa zhe 	开发者	c=1 d=1 t=14934
kai guan 	开关	c=1 d=0.00484407 t=15370
kai hui 	开会	c=1 d=0.0376283 t=15370
kai ji zi qi 	开机自启	c=1 d=0.000754089 t=15370
kai pi 	开辟	c=6 d=0.388659 t=15370
kai pi kong jian 	开辟空间	c=1 d=0.0471227 t=15370
kai qi 	开启	c=13 d=2.68046 t=15370
kai shi 	开始	c=17 d=2.2655 t=15370
kai xiao 	开销	c=7 d=0.250324 t=15370
kai yuan 	开源	c=5 d=0.249075 t=15370
kan 	看	c=16 d=0.754519 t=15370
kan 	砍	c=1 d=0.264477 t=15370
kan bu jian 	看不见	c=1 d=1 t=14712
kan bu liao 	看不了	c=1 d=1 t=14720
kan chu 	看出	c=1 d=3.8408e-08 t=15370
kan dai ma 	看代码	c=1 d=3.05113e-06 t=15370
kan de jian 	看得见	c=1 d=1 t=13473
kan dian nao 	看电脑	c=1 d=0.00396599 t=15370
kan jian 	看见	c=2 d=0.202909 t=15370
kan kan 	看看	c=16 d=2.50334 t=15370
kan lai 	看来	c=1 d=1 t=14328
kan qi lai 	看起来	c=1 d=0.412714 t=15370
kan ta 	看他	c=1 d=0.00509243 t=15370
kan wei 	看为	c=3 d=0.641327 t=15370
kao 	考	c=3 d=0.344129 t=15370
kao lv 	考虑	c=5 d=0.802519 t=15370
kao shi 	考试	c=2 d=0.360857 t=15370
ke 	可	c=1 d=0.00198154 t=15370
ke cheng 	课程	c=2 d=1.98511 t=14061
ke chong fu du 	可重复读	c=2 d=0.932394 t=15370
ke chong ru 	可重入	c=1 d=2.74577e-05 t=15370
ke chong ru suo 	可重入锁	c=1 d=5.27472e-05 t=15370
ke fu 	客服	c=1 d=0.168638 t=15370
ke hu duan 	客户端	c=16 d=2.04827 t=15370
ke jian 	可见	c=1 d=0.339596 t=15370
ke jian xing 	可见性	c=3 d=0.329559 t=15370
ke kao 	可靠	c=2 d=1.80654 t=13568
ke kao chuan shu 	可靠传输	c=2 d=1.99005 t=13530
ke kao xing 	可靠性	c=3 d=0.0437604 t=15370
ke kou 	克扣	c=1 d=1 t=14331
ke mu si 	科目四	c=1 d=0.0710054 t=15370
ke neng 	可能	c=14 d=2.08159 t=15370
ke tang 	课堂	c=1 d=1 t=11896
ke xing 	可行	c=1 d=0.683861 t=15370
ke xing xing 	可行性	c=1 d=0.618783 t=15370
ke yi 	可以	c=131 d=2.70684 t=15370
ke yi le 	可以了	c=1 d=1 t=14084
ke yong 	可用	c=3 d=0.923116 t=15370
ke yong zi yuan 	可用资源	c=1 d=0.00530026 t=15370
ke zhi xing 	可执行	c=1 d=0.438235 t=15370
kong 	空	c=3 d=0.878095 t=15370
kong ge 	空格	c=1 d=0.106458 t=15370
kong ge jian 	空格键	c=1 d=0.0417941 t=15370
kong jian 	空间	c=6 d=0.390847 t=15370
kong le 	空了	c=1 d=0.412714 t=15370
kong tiao 	空调	c=2 d=0.224479 t=15370
kong xian 	空闲	c=1 d=3.83088e-07 t=15370
kong zhi 	控制	c=6 d=0.236928 t=15370
kou fei 	扣费	c=1 d=0.131994 t=15370
ku 	库	c=3 d=2.85781 t=13189
kua ping tai 	跨平台	c=1 d=0.00440507 t=15370
kuai 	块	c=3 d=0.261496 t=15370
kuai bu kuai 	快不快	c=1 d=9.56648e-09 t=15370
kuai jie jian 	快捷键	c=1 d=0.285076 t=15370
kuai su 	快速	c=7 d=0.681519 t=15370
kuai yi dian 	快一点	c=1 d=0.0317456 t=15370
kuai ying yong 	快应用	c=1 d=0.136696 t=15370
kuai zi 	筷子	c=1 d=0.0270518 t=15370
kuan dai 	宽带	c=1 d=1 t=15232
kuan du 	宽度	c=2 d=0.29406 t=15370
kuang jia 	框架	c=2 d=1.10524 t=15370
kun le 	困了	c=1 d=0.0111647 t=15370
kun nan 	困难	c=1 d=0.0417941 t=15370
kun rao 	困扰	c=1 d=0.0112206 t=15370
kuo qi lai 	括起来	c=1 d=1 t=12060
kuo rong 	扩容	c=2 d=0.0193653 t=15370
la ji 	垃圾	c=1 d=0.165299 t=15370
lai 	来	c=86 d=2.89587 t=15370
lai shuo 	来说	c=3 d=0.522046 t=15370
lai zhe 	来着	c=2 d=0.000724521 t=15370
lan han 	懒汉	c=1 d=0.0285814 t=15370
lan han mo shi 	懒汉模式	c=1 d=0.151072 t=15370
lan jie 	拦截	c=1 d=0.814647 t=15370
lan qiao bei 	蓝桥杯	c=1 d=0.229925 t=15370
lan se 	蓝色	c=1 d=0.597501 t=15370
lang fei 	浪费	c=1 d=1 t=15124
lao shi 	老师	c=1 d=1 t=12034
le 	了	c=122 d=6.52372 t=15370
le guan 	乐观	c=1 d=2.78467e-05 t=15370
le guan shou 	乐观手	c=1 d=2.31157e-05 t=15370
le guan suo 	乐观锁	c=2 d=4.41473e-05 t=15370
lei 	类	c=13 d=0.239309 t=15370
lei bi 	类比	c=1 d=0.00416933 t=15370
lei bie 	类别	c=2 d=0.00410726 t=15370
lei jia 	累加	c=1 d=0.000645813 t=15370
lei si 	类似	c=16 d=0.983696 t=15370
lei xing 	类型	c=15 d=1.63211 t=15370
li hui 	例会	c=1 d=0.0273237 t=15370
li ji 	立即	c=1 d=0.722527 t=15370
li jie 	理解	c=8 d=0.892106 t=15370
li ke 	立刻	c=1 d=1 t=13914
li mao 	礼貌	c=1 d=0.782705 t=15370
li mian 	里面	c=44 d=3.26775 t=15370
li shi 	历史	c=2 d=1.04149 t=15370
li yong 	利用	c=1 d=1 t=15138
li zi 	例子	c=8 d=1.30746 t=15370
lian 	连	c=1 d=1 t=13134
lian jie 	连接	c=15 d=4.02485 t=14879
lian xiang 	联想	c=1 d=4.50722e-08 t=15370
lian xu 	连续	c=4 d=0.275081 t=15370
liang 	两	c=1 d=1 t=15275
liang 	量	c=3 d=0.836071 t=15370
liang ba 	两把	c=3 d=0.960789 t=15370
liang ba suo 	两把锁	c=1 d=0.0095616 t=15370
liang bian 	两边	c=2 d=0.0816439 t=15370
liang bu fen 	两部分	c=1 d=8.17034e-06 t=15370
liang ci 	两次	c=6 d=0.658604 t=15370
liang du 	亮度	c=1 d=0.217621 t=15370
liang ge 	两个	c=23 d=0.95043 t=15370
liang nian 	两年	c=1 d=0.00527382 t=15370
liang zhong 	两种	c=2 d=0.329559 t=15370
liao jie 	了解	c=7 d=0.946485 t=15370
lie 	列	c=2 d=0.182394 t=15370
lie biao 	列表	c=1 d=0.180866 t=15370
lie ju 	列举	c=2 d=7.57331e-08 t=15370
lin shi 	临时	c=2 d=0.494109 t=15370
ling 	令	c=2 d=0.644036 t=15370
ling dao 	领导	c=1 d=0.594521 t=15370
ling huo 	灵活	c=1 d=1 t=14195
ling huo xing 	灵活性	c=1 d=1 t=13940
ling yi ban 	另一半	c=1 d=1.26229e-05 t=15370
ling yi ge 	另一个	c=8 d=1.79711 t=15370
liu 	流	c=4 d=0.226012 t=15370
liu cheng 	流程	c=5 d=0.831104 t=15370
liu cheng tu 	流程图	c=1 d=7.61927e-08 t=15370
liu lan 	浏览	c=3 d=0.524449 t=15370
liu lan qi 	浏览器	c=21 d=1.89778 t=15370
liu liang 	流量	c=2 d=0.519442 t=15370
lou dong 	漏洞	c=1 d=1 t=14241
lu 	路	c=0 d=0.011475 t=15370
lu bo 	录播	c=1 d=1 t=14718
lu jing 	路径	c=10 d=0.0866575 t=15370
lu xian 	路线	c=1 d=1 t=13379
lu you 	路由	c=2 d=1.98511 t=12118
lu you qi 	路由器	c=2 d=1.0293 t=13250
lu yu cheng 	卢昱城	c=7 d=0.568055 t=15370
luan ma 	乱码	c=1 d=1 t=13083
luan xu 	乱序	c=1 d=0.847894 t=15370
luo 	落	c=1 d=1.00813e-07 t=15370
luo ji 	逻辑	c=18 d=1.85282 t=15370
lv se 	绿色	c=1 d=0.582748 t=15370
lv se ban 	绿色版	c=1 d=0.543351 t=15370
ma 	吗	c=12 d=0.502487 t=15370
ma fan 	麻烦	c=11 d=0.891367 t=15370
mai 	买	c=2 d=0.00465413 t=15370
mai dao 	买到	c=1 d=1 t=12457
man 	慢	c=1 d=0.0309618 t=15370
man 	满	c=2 d=0.030808 t=15370
man le 	满了	c=1 d=0.404542 t=15370
man man 	慢慢	c=1 d=0.600496 t=15370
man zu 	满足	c=24 d=1.27919 t=15370
mang da 	盲打	c=1 d=0.104874 t=15370
mang deng 	忙等	c=2 d=5.50814e-06 t=15370
mao si 	貌似	c=3 d=0.506627 t=15370
mei 	每	c=3 d=0.24958 t=15370
mei 	没	c=1 d=0.00528657 t=15370
mei bao han 	没包含	c=1 d=0.0531307 t=15370
mei cheng gong 	没成功	c=1 d=1 t=13555
mei ci 	每次	c=3 d=0.199888 t=15370
mei duo da 	没多大	c=1 d=1 t=15327
mei ge 	每个	c=11 d=0.866239 t=15370
mei guo 	美国	c=1 d=1 t=14246
mei ju 	枚举	c=3 d=0.327647 t=15370
mei man 	没满	c=1 d=0.251579 t=15370
mei nv 	美女	c=1 d=0.22313 t=15370
mei ri 	每日	c=6 d=0.167091 t=15370
mei shen me 	没什么	c=1 d=0.782705 t=15370
mei tian 	每天	c=8 d=1.77185 t=15370
mei wen ti 	没问题	c=3 d=0.847893 t=15370
mei xie wan 	没写完	c=1 d=0.188247 t=15370
mei yi ci 	每一次	c=6 d=0.588605 t=15370
mei yi ge 	每一个	c=2 d=0.484325 t=15370
mei you 	没有	c=88 d=5.8952 t=15370
mei you yong 	没有用	c=4 d=0.20089 t=15370
mei yuan 	美元	c=3 d=2.88825 t=14309
mei zhao dao 	没找到	c=4 d=0.0246002 t=15370
mi ji xing 	密集型	c=2 d=1.14018e-06 t=15370
mi ma 	密码	c=8 d=0.00556732 t=15370
mi mi ma ma 	密密麻麻	c=1 d=0.167797 t=15370
mi yao 	密钥	c=2 d=5.04348e-07 t=15370
mian ban 	面板	c=1 d=1 t=12905
mian fei 	免费	c=12 d=0.247833 t=15370
mian shi 	面试	c=7 d=0.703176 t=15370
mian shi ti 	面试题	c=3 d=0.0818584 t=15370
mian xiang 	面向	c=1 d=1 t=13453
miao 	秒	c=0 d=1.46328e-09 t=15370
miao shu 	描述	c=4 d=1.41293 t=15370
min jie 	敏捷	c=5 d=0.782705 t=15370
ming 	明	c=1 d=0.371577 t=15370
ming cheng 	名称	c=1 d=0.0925506 t=15370
ming ci 	名词	c=1 d=1 t=12259
ming liao 	明了	c=1 d=0.106992 t=15370
ming que 	明确	c=9 d=0.603506 t=15370
ming wen 	明文	c=1 d=8.87222e-05 t=15370
ming xian 	明显	c=4 d=0.308819 t=15370
ming zhong 	命中	c=1 d=0.390628 t=15370
ming zi 	名字	c=2 d=0.422384 t=15370
mo ban 	模板	c=5 d=0.286548 t=15370
mo de zhao 	摸得着	c=1 d=1 t=13474
mo kuai 	模块	c=10 d=1.74511 t=15370
mo ni 	模拟	c=2 d=0.346456 t=15370
mo ren 	默认	c=8 d=0.5046 t=15370
mo shi 	模式	c=19 d=1.98107 t=15370
mo xing 	模型	c=24 d=4.06064 t=15370
mou ge 	某个	c=2 d=1.14808 t=14743
mou xie 	某些	c=2 d=0.000100167 t=15370
mou yi ge 	某一个	c=1 d=1 t=13767
mu ban 	模板	c=1 d=1.54949e-05 t=15370
mu biao 	目标	c=9 d=1.50122 t=15370
mu biao zhi 	目标值	c=4 d=0.748264 t=15370
mu di 	目的	c=2 d=0.0119742 t=15370
mu di di 	目的地	c=1 d=0.193013 t=15370
mu lu 	目录	c=12 d=3.63062 t=15370
mu nai yi 	木乃伊	c=4 d=1.44327 t=15370
mu qian 	目前	c=4 d=0.0566989 t=15370
na 	那	c=29 d=1.28468 t=15370
na ge 	哪个	c=10 d=0.310686 t=15370
na ge 	那个	c=2 d=0.597501 t=15370
na jiu shi 	那就是	c=1 d=0.677057 t=15370
na li 	哪里	c=7 d=1.51082 t=15370
na li 	那里	c=3 d=0.68045 t=15370
na me 	那么	c=106 d=3.67061 t=15370
na qi 	拿起	c=1 d=0.0266491 t=15370
na suan le 	那算了	c=1 d=1 t=13057
na xie 	哪些	c=7 d=2.19169 t=15370
na xie 	那些	c=2 d=0.412714 t=15370
na yi ge 	哪一个	c=3 d=0.398519 t=15370
na yi lei 	哪一类	c=1 d=0.00298248 t=15370
nan dao 	难道	c=1 d=0.0507928 t=15370
nan du 	难度	c=2 d=0.0590129 t=15370
nan yi 	难以	c=1 d=0.245367 t=15370
nao zi 	脑子	c=1 d=1 t=12403
ne 	呢	c=87 d=4.89654 t=15370
nei 	内	c=22 d=1.88687 t=15370
nei bu 	内部	c=6 d=1.55201 t=15370
nei cun 	内存	c=6 d=0.612992 t=15370
nei he 	内核	c=2 d=4.69404e-07 t=15370
nei rong 	内容	c=40 d=2.09623 t=15370
nei zhi 	内置	c=1 d=0.00223168 t=15370
neng 	能	c=5 d=1.36526 t=15370
neng bu neng 	能不能	c=43 d=2.27566 t=15370
neng fou 	能否	c=6 d=4.626 t=15370
neng gou 	能够	c=4 d=0.0833256 t=15370
neng kao 	能靠	c=1 d=0.20089 t=15370
neng li 	能力	c=5 d=3.28622 t=15370
ni 	你	c=44 d=4.16715 t=15370
ni hao 	你好	c=6 d=1.14532 t=15197
ni kan kan 	你看看	c=1 d=0.677057 t=15370
ni ming nei bu lei 	匿名内部类	c=1 d=0.371577 t=15370
ni zhi xu yao 	你只需要	c=1 d=0.0972957 t=15370
nian 	年	c=5 d=0.428255 t=15370
nian ling 	年龄	c=1 d=0.00263203 t=15370
niu nai 	牛奶	c=1 d=0.123687 t=15370
nong 	弄	c=5 d=1.83947 t=15370
nong chu 	弄出	c=1 d=1 t=15331
nong diao 	弄掉	c=1 d=0.0958472 t=15370
nong hun 	弄混	c=1 d=1 t=12979
nv sheng 	女生	c=1 d=0.239309 t=15370
nv xing 	女性	c=1 d=0.246597 t=15370
ou he 	耦合	c=3 d=1.91434 t=15370
ou shu 	偶数	c=1 d=0.818731 t=15370
pai chu 	排除	c=13 d=0.410664 t=15370
pai xu 	排序	c=5 d=0.770937 t=15370
pan ding 	判定	c=5 d=0.129467 t=15370
pan ding biao 	判定表	c=1 d=3.51023e-08 t=15370
pan duan 	判断	c=49 d=5.18099 t=15370
pan duan fu gai 	判断覆盖	c=1 d=0.0584257 t=15370
pan wang 	盼望	c=1 d=0.597501 t=15370
pang bian 	旁边	c=1 d=0.594521 t=15370
pang da 	庞大	c=1 d=1 t=12594
pao chu 	抛出	c=2 d=0.88692 t=15370
pei dui 	配对	c=1 d=3.19211e-08 t=15370
pei he 	配合	c=2 d=0.00247875 t=15370
pei zhi 	配置	c=39 d=4.67348 t=15370
pi liang 	批量	c=1 d=0.937067 t=15370
pi pei 	匹配	c=9 d=1.1222 t=15370
pian 	篇	c=3 d=0.322606 t=15370
pian da 	偏大	c=3 d=0.657047 t=15370
pian xiang 	偏向	c=1 d=0.000124028 t=15370
pian xiang suo 	偏向锁	c=1 d=0.000135032 t=15370
pian yi 	便宜	c=1 d=1 t=14302
pin fan 	频繁	c=2 d=0.000284653 t=15370
pin lv 	频率	c=1 d=0.000131698 t=15370
pin xie 	拼写	c=3 d=0.45656 t=15370
pin ying 	拼英	c=5 d=1.39429 t=15370
ping bi 	屏蔽	c=2 d=0.000201606 t=15370
ping ding 	评定	c=1 d=0.50956 t=15370
ping fang 	平方	c=2 d=1.91851 t=11741
ping gu 	评估	c=6 d=1.99283 t=15370
ping hua 	平滑	c=1 d=1 t=11848
ping mian 	平面	c=1 d=7.22896e-07 t=15370
ping mian zhi jiao zuo biao xi 	平面直角坐标系	c=1 d=7.01532e-07 t=15370
ping mu 	屏幕	c=2 d=0.00850246 t=15370
ping shen 	评审	c=2 d=1.68325 t=15370
pu bu 	瀑布	c=2 d=0.980199 t=15370
pu tong 	普通	c=1 d=2.26579e-05 t=15370
qi 	起	c=1 d=0.634448 t=15370
qi ci 	其次	c=2 d=0.00887071 t=15370
qi dong 	启动	c=8 d=1.03665 t=15370
qi e 	企鹅	c=1 d=0.122456 t=15370
qi lai 	起来	c=6 d=1.15131 t=15370
qi pian 	欺骗	c=1 d=0.349938 t=15370
qi shi 	其实	c=1 d=0.67368 t=15370
qi shi 	起始	c=1 d=1.48131e-05 t=15370
qi ta 	其他	c=31 d=1.49611 t=15370
qi wang 	期望	c=4 d=0.350253 t=15370
qi ye 	企业	c=3 d=1.04725 t=15370
qi yu 	其余	c=1 d=2.83066e-06 t=15370
qi zhong 	其中	c=7 d=0.226502 t=15370
qi zuo yong 	起作用	c=2 d=1.96561 t=12679
qian 	前	c=8 d=0.594758 t=15370
qian 	钱	c=9 d=1.21852 t=15370
qian dao 	签到	c=4 d=3.8642 t=14229
qian duan 	前端	c=3 d=0.828032 t=15370
qian hou duan 	前后端	c=1 d=1 t=14025
qian ji 	前几	c=0 d=1.46328e-09 t=15370
qian ji miao 	前几秒	c=1 d=1.47062e-08 t=15370
qian jin 	前进	c=1 d=1 t=14377
qian liang ge 	前两个	c=1 d=1 t=14079
qian mian 	前面	c=6 d=0.55199 t=15370
qian qi 	前期	c=1 d=1 t=14181
qian tai 	前台	c=4 d=0.722012 t=15370
qian tai xian cheng 	前台线程	c=1 d=0.170408 t=15370
qian tai xian cheng de 	前台线程的	c=1 d=0.163654 t=15370
qian tao 	嵌套	c=1 d=0.0135009 t=15370
qian tao zi 	嵌套字	c=3 d=1.07823 t=15204
qian ti 	前提	c=2 d=0.918512 t=15370
qian yi 	迁移	c=2 d=0.269352 t=15370
qian yi ge 	前一个	c=1 d=1.10307e-07 t=15370
qian zhe 	前者	c=2 d=0.337902 t=15370
qiang 	强	c=1 d=0.161217 t=15370
qiang piao 	抢票	c=1 d=0.759572 t=15370
qiang po 	强迫	c=3 d=0.653397 t=15370
qiang zhi 	强制	c=4 d=0.624956 t=15370
qiao ji 	敲击	c=1 d=0.0407622 t=15370
qie huan 	切换	c=4 d=0.349938 t=15370
qin zhan 	侵占	c=1 d=0.182684 t=15370
qing 	请	c=3 d=0.0620385 t=15370
qing 	轻	c=0 d=0.0891366 t=15370
qing can kao 	请参考	c=1 d=1 t=14697
qing jing 	情景	c=1 d=1 t=15161
qing kuang 	情况	c=47 d=3.81841 t=15370
qing li 	清理	c=9 d=1.47256 t=15370
qing liang ji 	轻量级	c=2 d=4.73783e-05 t=15370
qing ni 	请你	c=1 d=0.946485 t=15370
qing qiu 	请求	c=9 d=1.00136 t=15370
qing qiu liang 	请求量	c=1 d=0.00489275 t=15370
qing shu ru 	请输入	c=3 d=1 t=15364
qing wen dang 	轻文档	c=1 d=0.895834 t=15370
qing xi 	清晰	c=1 d=1 t=13282
qing xi 	清洗	c=2 d=0.644036 t=15370
qing xi ming liao 	清晰明了	c=3 d=0.214381 t=15370
qing xing 	清醒	c=1 d=1 t=12404
qing yi 	轻易	c=1 d=3.50116e-07 t=15370
qiu 	求	c=9 d=0.75164 t=15370
qiu chu 	求出	c=1 d=0.0327124 t=15370
qiu he 	求和	c=3 d=0.116274 t=15370
qu 	去	c=7 d=0.715338 t=15370
qu bei 	去呗	c=1 d=0.895834 t=15370
qu bie 	区别	c=14 d=1.19943 t=15370
qu cheng 	去程	c=1 d=1 t=13900
qu chong 	去重	c=1 d=0.0773047 t=15370
qu chu 	去除	c=1 d=0.000160856 t=15370
qu dai 	取代	c=1 d=0.0739031 t=15370
qu diao 	去掉	c=2 d=1.98511 t=13679
qu dong 	驱动	c=5 d=2.15497 t=12805
qu fen 	区分	c=1 d=1 t=13412
qu jian 	区间	c=13 d=1.32243 t=15370
qu na li 	去哪里	c=1 d=0.0500366 t=15370
qu xiao 	取消	c=3 d=0.0353614 t=15370
qu yu 	区域	c=1 d=1 t=12982
quan 	全	c=3 d=0.514274 t=15370
quan bu 	全部	c=7 d=0.541299 t=15370
quan ju 	全局	c=3 d=0.0306538 t=15370
quan liu liang 	全流量	c=1 d=0.50409 t=15370
quan nian 	全年	c=1 d=0.0169075 t=15370
quan ping 	全屏	c=4 d=0.56932 t=15370
quan ri zhi 	全日制	c=1 d=0.16696 t=15370
quan shen 	全身	c=1 d=0.224249 t=15370
quan shi 	全是	c=1 d=0.585669 t=15370
quan shuang gong 	全双工	c=1 d=1 t=13455
quan xian 	权限	c=3 d=6.68931e-06 t=15370
quan zhong 	圈中	c=1 d=0.680451 t=15370
que 	却	c=4 d=0.788473 t=15370
que bu 	却不	c=0 d=4.16069e-09 t=15370
que bu zen me 	却不怎么	c=1 d=4.18154e-08 t=15370
que dian 	缺点	c=5 d=0.999615 t=15370
que ding 	确定	c=1 d=0.382893 t=15370
que ren 	确认	c=5 d=0.951914 t=15370
que shao 	缺少	c=1 d=6.14526e-08 t=15370
que shi 	确实	c=4 d=2.30341 t=15370
que shi chu fa 	确实触发	c=1 d=0.151829 t=15370
qun 	群	c=0 d=0.00513033 t=15370
ran hou 	然后	c=13 d=1.78014 t=15370
rang 	让	c=6 d=0.878095 t=15370
rang ni 	让你	c=1 d=0.941765 t=15370
rang ta 	让他	c=1 d=0.128093 t=15370
rang ta 	让它	c=2 d=0.0893673 t=15370
rang wo 	让我	c=1 d=0.289384 t=15370
rang wo men 	让我们	c=1 d=0.97531 t=15370
rao guo 	绕过	c=0 d=0.1 t=12164
rao guo da lu 	绕过大陆	c=1 d=1 t=12165
rao lu 	绕路	c=1 d=1 t=13885
re dian 	热点	c=5 d=2.74123 t=14788
re sou 	热搜	c=2 d=1.97531 t=12662
ren 	人	c=4 d=0.897975 t=15370
ren gong 	人工	c=1 d=0.0742736 t=15370
ren he 	任何	c=1 d=0.275271 t=15370
ren ji 	人机	c=1 d=1 t=14233
ren min bi 	人民币	c=1 d=1 t=14300
ren qi 	人妻	c=1 d=0.169483 t=15370
ren shi 	认识	c=1 d=0.257947 t=15370
ren shu 	人数	c=1 d=0.00375375 t=15370
ren ti 	人体	c=3 d=0.88846 t=15370
ren wei 	认为	c=3 d=0.860708 t=15370
ren wu 	任务	c=8 d=0.143326 t=15370
ren yi 	任意	c=1 d=0.256661 t=15370
ren yuan 	人员	c=13 d=3.79923 t=15370
ren yuan xiu gai 	人员修改	c=1 d=0.535261 t=15370
ren zheng 	认证	c=6 d=0.020393 t=15370
ren zhi 	认知	c=0 d=0.00112769 t=15370
ren zhi hun luan 	认知混乱	c=1 d=0.0113334 t=15370
ri ben 	日本	c=2 d=0.245367 t=15370
ri zhi 	日志	c=3 d=0.0614212 t=15370
rong qi 	容器	c=1 d=0.529935 t=15370
rong yi 	容易	c=3 d=0.900325 t=15370
ru 	儒	c=0 d=0.011475 t=15370
ru 	入	c=1 d=0.181772 t=15370
ru 	如	c=3 d=0.546074 t=15370
ru guo 	如果	c=116 d=4.4769 t=15370
ru he 	如何	c=58 d=2.26822 t=15370
ru shui 	入睡	c=1 d=1 t=15294
ru tang tou cun 	儒堂头村	c=3 d=0.352967 t=15370
ruan jian 	软件	c=50 d=4.38937 t=15370
ruan jian bei 	软件被	c=1 d=0.891366 t=15370
ruan jian ce shi gong cheng shi 	软件测试工程师	c=1 d=0.332871 t=15370
ruan jian ce shi kai fa gong cheng shi 	软件测试开发工程师	c=1 d=0.336216 t=15370
ruo gan 	若干	c=0 d=0.000172074 t=15370
ruo gan mo kuai 	若干模块	c=1 d=0.00172937 t=15370
ruo wang 	弱网	c=0 d=1.93611e-09 t=15370
ruo wang ce shi 	弱网测试	c=1 d=1.94581e-08 t=15370
san 	三	c=1 d=0.154124 t=15370
san ge 	三个	c=5 d=0.379083 t=15370
san lei 	三类	c=1 d=0.891366 t=15370
san tiao 	三条	c=1 d=0.267135 t=15370
san wang 	三网	c=1 d=1 t=13886
sha bu 	纱布	c=3 d=0.66034 t=15370
sha diao 	傻屌	c=1 d=0.839457 t=15370
shai xuan 	筛选	c=2 d=1.46767 t=13146
shai xuan diao 	筛选掉	c=1 d=1 t=13640
shan chu 	删除	c=20 d=1.9353 t=15370
shan dong 	闪动	c=1 d=1 t=14055
shang 	上	c=15 d=0.828018 t=15370
shang chang 	商场	c=1 d=4.39594e-08 t=15370
shang chuan 	上传	c=5 d=0.019089 t=15370
shang chuang 	上床	c=1 d=1 t=15253
shang dian 	商店	c=3 d=0.701255 t=15370
shang jia 	商家	c=1 d=0.65377 t=15370
shang mian 	上面	c=25 d=1.56968 t=15370
shang pin 	商品	c=3 d=1.86626 t=15370
shang su 	上诉	c=6 d=1.79402 t=15370
shang tu 	上图	c=1 d=0.0015415 t=15370
shang wang 	上网	c=1 d=1 t=12512
shang wei 	上位	c=1 d=0.00697795 t=15370
shang xia 	上下	c=1 d=0.0652193 t=15370
shang xia wen 	上下文	c=3 d=0.844793 t=15370
shang xian 	上线	c=9 d=2.38061 t=15370
shang yi 	上一	c=1 d=0.506617 t=15370
shang yi ci 	上一次	c=2 d=0.523266 t=15370
shang yi ji 	上一集	c=4 d=1.68733 t=15370
shao 	少	c=5 d=0.797198 t=15370
she bei 	设备	c=2 d=1.81465 t=12554
she ji 	涉及	c=5 d=0.0134362 t=15370
she ji 	设计	c=33 d=4.07695 t=15370
she wei 	设为	c=1 d=0.149569 t=15370
she zhi 	设置	c=32 d=4.74384 t=15370
shen cha 	审查	c=1 d=0.0197421 t=15370
shen me 	什么	c=31 d=2.10758 t=15370
shen me shi hou 	什么时候	c=1 d=0.241714 t=15370
shen me yi si 	什么意思	c=1 d=0.000720907 t=15370
shen pi 	审批	c=1 d=0.301194 t=15370
shen qing 	申请	c=5 d=0.00509243 t=15370
shen se 	深色	c=2 d=0.694197 t=15370
shen ti 	身体	c=1 d=1 t=12431
